Area Category,Nama Daerah,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai ,Harga Penawaran (dari Owner),Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW)
Standard,Nirwana Ekseskutif,114.0,119.0,4.0,3.0,2.0,1650000000.0,Belum,,Standard,1-2 Mobil
Standard,Bendul Merisi,120.0,240.0,5.0,2.0,2.0,1700000000.0,Belum,Timur,Standard,1-2 Mobil
Standard,Mulyosari Utara,79.0,115.0,3.0,3.0,2.0,1800000000.0,Belum,Selatan,Tikungan/Hook,1-2 Mobil
Premium,Greenlake Wonorejo,144.0,190.0,4.0,3.0,2.0,1890000000.0,Belum,Utara,Standard,> 2 Mobil
Premium,Manyar Tirtoasri,93.0,107.0,3.0,3.0,2.0,1900000000.0,Belum,Barat,Standard,1-2 Mobil
Standard,Sutorejo Utara,157.0,362.0,7.0,3.0,2.0,1950000000.0,Belum,,Standard,1-2 Mobil
Premium,Rungkut Private Residential,84.0,139.0,3.0,2.0,2.0,1950000000.0,Belum,,Standard,> 2 Mobil
Premium,Sutorejo Timur,90.0,145.0,4.0,4.0,2.0,1990000000.0,Belum,Timur,Tikungan/Hook,1-2 Mobil
Standard,Sakura Regency Ketintang,134.0,200.0,7.0,2.0,2.0,2000000000.0,Belum,Utara,Standard,> 2 Mobil
Standard,Mulyosari,120.0,200.0,4.0,3.0,2.0,2100000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Gayungsari,112.0,190.0,5.0,3.0,2.0,2200000000.0,Belum,Timur,Standard,1-2 Mobil
Standard,Wiyung,96.0,136.0,3.0,3.0,2.0,2250000000.0,Belum,Selatan,Standard,> 2 Mobil
Standard,Pantai Mentari ,170.0,120.0,4.0,3.0,1.0,2400000000.0,Belum,Utara,Standard,> 2 Mobil
Standard,Pakuwon City,140.0,200.0,4.0,3.0,2.0,2400000000.0,Belum,Utara,Standard,> 2 Mobil
Standard,Kenjeran,136.0,160.0,4.0,3.0,2.0,2500000000.0,Belum,Utara,Standard,> 2 Mobil
Standard,Wiyung,144.0,200.0,4.0,4.0,2.0,2500000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Wiyung,96.0,135.0,3.0,3.0,2.0,2600000000.0,Belum,,,
Standard,Karang Asem,240.0,350.0,13.0,13.0,2.0,2750000000.0,Belum,Selatan,Standard,> 2 Mobil
Standard,Wiyung,162.0,200.0,3.0,3.0,2.0,3000000000.0,Belum,,Standard,1-2 Mobil
Premium,Manyar Tirtoasri,150.0,250.0,4.0,3.0,2.0,3100000000.0,Belum,,Standard,> 2 Mobil
Standard,Citraland,210.0,290.0,5.0,4.0,2.0,3100000000.0,Belum,Utara,Tikungan/Hook,1-2 Mobil
Standard,Pakuwon City,144.0,200.0,3.0,3.0,2.0,3250000000.0,Belum,Utara,Standard,> 2 Mobil
Standard,Pantai Mentari ,250.0,300.0,5.0,4.0,2.0,3450000000.0,Belum,Timur,Standard,> 2 Mobil
Standard,Wiyung,240.0,300.0,3.0,3.0,2.0,3500000000.0,Belum,,Standard,1-2 Mobil
Standard,Manyar Garden Regency,160.0,200.0,5.0,4.0,2.0,3500000000.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Pantai Mentari,180.0,225.0,4.0,4.0,2.0,3500000000.0,Belum,Barat,Standard,1-2 Mobil
Standard,Pakuwon City,180.0,170.0,5.0,4.0,2.0,3500000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Manyar ,362.0,250.0,4.0,4.0,2.0,3700000000.0,Belum,Timur,Standard,> 2 Mobil
Premium,Citraland,200.0,243.0,3.0,4.0,2.0,3900000000.0,Belum,Selatan,Standard,> 2 Mobil
Standard,Citraland ,279.0,450.0,5.0,5.0,2.0,3990000000.0,Belum,Timur,Standard,1-2 Mobil
Standard,Citraland,240.0,300.0,5.0,4.0,2.0,4000000000.0,Belum,Barat,Standard,1-2 Mobil
Premium,Manyar Kertoajo,225.0,350.0,4.0,3.0,3.0,4750000000.0,Belum,Utara,Standard,1-2 Mobil
Premium,Pakuwon City,240.0,300.0,5.0,5.0,2.0,4888888888.0,Belum,Timur,Tikungan/Hook,> 2 Mobil
Premium,Citraland,240.0,270.0,4.0,3.0,2.0,4950000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Araya,254.0,265.0,4.0,3.0,2.0,5300000000.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Pakuwon City,200.0,485.0,5.0,5.0,3.0,5500000000.0,Belum,Utara,Standard,1-2 Mobil
Premium,Graha Family,240.0,345.0,4.0,4.0,2.0,6000000000.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Manyar ,395.0,365.0,3.0,5.0,2.0,7000000000.0,Belum,Utara,Tikungan/Hook,> 2 Mobil
Standard,Jimerto,425.0,850.0,6.0,4.0,2.0,8000000000.0,Belum,Utara,Standard,1-2 Mobil
Premium,Galaxy Bumi Permai,300.0,400.0,5.0,3.0,2.0,8999999999.0,Belum,Utara,Standard,> 2 Mobil
Sangat Premium,Kertajaya Indah Timur ,425.0,300.0,4.0,4.0,2.0,11000000000.0,Belum,Timur,Standard,> 2 Mobil
Sangat Premium,Graha Family,390.0,500.0,7.0,6.0,2.0,13500000000.0,Belum,Utara,Standard,> 2 Mobil
Premium,Graha Family,616.0,900.0,6.0,7.0,2.0,13800000000.0,Belum,Utara,Standard,1-2 Mobil
Sangat Premium,Kertajaya,1561.0,750.0,5.0,7.0,1.0,14000000000.0,Belum,,Standard,
Sangat Premium,Graha Family,600.0,700.0,5.0,5.0,2.0,16999999999.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Graha Family,792.0,509.0,5.0,3.0,2.0,19999999000.0,Belum,Selatan,Standard,> 2 Mobil
Standard,Anjasmoro,573.0,400.0,5.0,5.0,1.0,20055000000.0,Belum,Utara,Kantong Belakang/Ngantong,1-2 Mobil
Premium,Graha Family,390.0,920.0,5.0,5.0,3.0,20500000000.0,Belum,Selatan,Standard,1-2 Mobil
Sangat Premium,Graha Famili,900.0,1100.0,6.0,5.0,2.0,58000000000.0,Belum,,Tikungan/Hook,> 2 Mobil
Sangat Premium,Citraland,364.0,450.0,6.0,5.0,2.0,9500000000.0,Belum,,,
Sangat Premium,Citraland,600.0,700.0,5.0,5.0,2.0,16500000000.0,Belum,Selatan,,
Standard,Jambangan Kebon Agung,84.0,70.0,2.0,1.0,1.0,8000000000.0,Belum,Utara,,1-2 Mobil
Premium,Wiyung,200.0,243.0,5.0,4.0,2.0,3900000000.0,Belum,Selatan,,> 2 Mobil
Premium,Ngagel,120.0,240.0,4.0,3.0,2.5,2500000000.0,Belum,Timur,,
Premium,Tandes,112.0,150.0,4.0,3.0,2.0,1900000000.0,Belum,Utara,,> 2 Mobil
Sangat Premium,Sutorejo,495.0,750.0,7.0,5.0,2.0,5500000000.0,Belum,Utara,,> 2 Mobil
Below Standard,Sawahan,360.0,120.0,4.0,2.0,,2400000000.0,Belum,,,
Premium,Citraland,264.0,360.0,5.0,6.0,2.0,5900000000.0,Belum,Timur,,
Sangat Premium,Wiyung,375.0,600.0,5.0,4.0,2.0,5690000000.0,Belum,,,
Standard,Citraland,60.0,90.0,3.0,2.0,2.0,1000000000.0,Belum,Selatan,,> 2 Mobil
Premium,Manyar,200.0,340.0,7.0,2.0,2.5,4100000000.0,Belum,Selatan,,> 2 Mobil
Standard,Semolowaru,83.0,164.0,4.0,4.0,1.0,1800000000.0,Belum,,,1-2 Mobil
Standard,Citraland,84.0,56.0,2.0,1.0,1.0,1200000000.0,Belum,Selatan,,1-2 Mobil
Standard,Rungkut,90.0,150.0,3.0,3.0,2.0,1500000000.0,Belum,Utara,Tikungan/Hook,1-2 Mobil
Standard,Kenjeran,120.0,90.0,4.0,2.0,1.0,1900000000.0,Belum,Selatan,,> 2 Mobil
Standard,Wiyung,250.0,300.0,5.0,3.0,2.0,2800000000.0,Belum,Selatan,,> 2 Mobil
Standard,Kutisari,84.0,120.0,3.0,,2.0,1500000000.0,Belum,,,
Standard,Lidah Kulon,67.0,68.0,2.0,2.0,2.0,849000000.0,Belum,,,
Below Standard,Rungkut,60.0,50.0,2.0,1.0,1.0,595000000.0,Belum,Selatan,,1-2 Mobil
Standard,Gununganyar,60.0,68.0,2.0,2.0,2.0,725000000.0,Belum,Utara,,1-2 Mobil
Premium,Pakuwon Indah,330.0,550.0,6.0,7.0,2.0,7900000000.0,Belum,Utara,,
Below Standard,Darmo Permai,184.0,132.0,4.0,1.0,1.0,1250000000.0,Belum,,,1-2 Mobil
Standard,Citraland,72.0,90.0,2.0,2.0,2.0,1700000000.0,Belum,,,
Sangat Premium,Citraland,240.0,400.0,6.0,7.0,2.0,5800000000.0,Belum,Selatan,,> 2 Mobil
Premium,Rungkut,340.0,250.0,8.0,4.0,2.0,3500000000.0,Belum,Selatan,,1-2 Mobil
Premium,Citraland,150.0,180.0,5.0,4.0,2.0,2400000000.0,Belum,Selatan,,
Premium,Citraland,200.0,200.0,5.0,4.0,3.0,3900000000.0,Belum,,,> 2 Mobil
Premium,Pakuwon Indah,312.0,312.0,4.0,4.0,2.0,4250000000.0,Belum,Selatan,,1-2 Mobil
Below Standard,Mulyorejo,300.0,400.0,4.0,3.0,2.0,3900000000.0,Belum,Utara,,1-2 Mobil
Premium,Wisata Bukit Mas,160.0,320.0,7.0,4.0,2.5,4000000000.0,Belum,Selatan,Tikungan/Hook,
Standard,Kebonsari,268.0,170.0,4.0,2.0,1.0,2000000000.0,Belum,Timur,,
Premium,Wiyung,120.0,250.0,5.0,5.0,3.0,1900000000.0,Belum,Utara,,
Standard,Sukolilo,106.0,150.0,5.0,4.0,2.0,2300000000.0,Belum,Timur,,> 2 Mobil
Premium,Citraland,280.0,425.0,5.0,5.0,2.0,4950000000.0,Belum,Timur,,
Standard,Kendangsari,420.0,570.0,5.0,4.0,1.0,4250000000.0,Belum,Timur,,
Below Standard,Ketintang,120.0,120.0,2.0,2.0,1.0,1900000000.0,Belum,,,
Below Standard,Tambaksari,140.0,130.0,3.0,2.0,1.0,1100000000.0,Belum,Barat,,
Standard,Tambaksari,120.0,90.0,4.0,3.0,1.0,725000000.0,Belum,,,
Premium,Wonocolo,754.0,530.0,7.0,5.0,2.0,14000000000.0,Belum,Selatan,,1-2 Mobil
Below Standard,Tambaksari,200.0,200.0,3.0,2.0,1.5,1600000000.0,Belum,,,
Standard,Sukolilo,240.0,180.0,3.0,3.0,1.0,3850000000.0,Belum,,,
Below Standard,Raya Margorejo,300.0,250.0,5.0,4.0,1.0,2600000000.0,Belum,Utara,,> 2 Mobil
Premium,Kenjeran,107.0,145.0,5.0,5.0,2.0,1900000000.0,Belum,Utara,,
Premium,Tegalsari,942.0,635.0,8.0,3.0,1.0,25000000000.0,Belum,Utara,Tikungan/Hook,> 2 Mobil
Standard,Citraland,105.0,84.0,2.0,1.0,1.0,1000000000.0,Belum,Barat,,
Premium,Sukolilo,135.0,225.0,5.0,4.0,2.0,4100000000.0,Belum,Timur,,> 2 Mobil
Premium,Citraland,135.0,140.0,4.0,3.0,2.0,2300000000.0,Belum,Selatan,,
Standard,Sukolilo,160.0,160.0,4.0,3.0,1.5,2100000000.0,Belum,,,1-2 Mobil
Premium,Rungkut,120.0,140.0,4.0,2.0,2.0,1600000000.0,Belum,Utara,,1-2 Mobil
Standard,Rungkut,135.0,135.0,4.0,3.0,2.0,1400000000.0,Belum,Utara,,1-2 Mobil
Standard,Petemon,70.0,70.0,2.0,1.0,1.0,500000000.0,Belum,Barat,,< 1 Mobil
Standard,Petemon,42.0,84.0,2.0,1.0,2.0,500000000.0,Belum,Utara,,1-2 Mobil
Premium,Wiyung,162.0,220.0,5.0,3.0,2.0,2788000000.0,Belum,Utara,Tikungan/Hook,> 2 Mobil
Standard,Petemon,50.0,80.0,3.0,1.0,2.0,400000000.0,Belum,Barat,,< 1 Mobil
Standard,Mulyorejo,120.0,200.0,5.0,4.0,2.0,2100000000.0,Belum,Selatan,,1-2 Mobil
Sangat Premium,Graha,360.0,500.0,5.0,5.0,2.0,10500000000.0,Belum,Selatan,,
Premium,Manyar,225.0,350.0,5.0,4.0,3.0,4750000000.0,Belum,Utara,Cul De Sac/Ujung Gang Buntu,
Standard,Gubeng,34.0,50.0,2.0,2.0,2.0,825000000.0,Belum,,Tusuk Sate,1-2 Mobil
Standard,Manyar,200.0,180.0,4.0,3.0,1.5,3299000000.0,Belum,Utara,,1-2 Mobil
Premium,Klampis Ngasem,96.0,190.0,6.0,4.0,3.0,2200000000.0,Belum,Timur,,1-2 Mobil
Standard,Mayjend Sungkono,480.0,300.0,4.0,3.0,2.0,19500000000.0,Belum,Utara,,> 2 Mobil
Standard,Medokan Ayu,100.0,50.0,2.0,1.0,2.0,775000000.0,Belum,,,1-2 Mobil
Standard,Medokan Ayu,60.0,100.0,2.0,2.0,2.0,600000000.0,Belum,Timur,,1-2 Mobil
Standard,Manyar,319.0,275.0,5.0,3.0,1.0,4900000000.0,Belum,Timur,,1-2 Mobil
Sangat Premium,Araya,330.0,750.0,8.0,8.0,4.0,6350000000.0,Belum,Utara,,1-2 Mobil
Standard,Manyar,850.0,450.0,4.0,3.0,2.0,8500000000.0,Belum,Utara,,> 2 Mobil
Standard,Manyar,240.0,300.0,4.0,3.0,2.0,4250000000.0,Belum,Utara,,> 2 Mobil
Below Standard,Raya Arjuno,864.0,600.0,6.0,3.0,1.0,28500000000.0,Belum,Timur,,> 2 Mobil
Standard,Rungkut,75.0,75.0,4.0,2.0,2.0,900000000.0,Belum,Selatan,,> 2 Mobil
Premium,Pakuwon City,343.0,601.0,7.0,4.0,3.0,12000000000.0,Belum,Barat,,> 2 Mobil
Standard,Pakuwon City,240.0,350.0,5.0,4.0,3.0,5750000000.0,Belum,Utara,,
Premium,Kertajaya,600.0,800.0,5.0,3.0,2.0,16000000000.0,Belum,Utara,,> 2 Mobil
Premium,Ketintang,312.0,500.0,4.0,3.0,2.0,3990000000.0,Belum,Utara,,> 2 Mobil
Premium,Citraland,479.0,600.0,8.0,7.0,2.0,8690000000.0,Belum,Timur,,> 2 Mobil
Premium,Darmo Permai,450.0,450.0,8.0,5.0,1.0,3980000000.0,Belum,Timur,,> 2 Mobil
Standard,Diponegoro,631.0,631.0,8.0,5.0,1.0,9400000000.0,Belum,Barat,,> 2 Mobil
Premium,Pakuwon City,450.0,600.0,5.0,5.0,2.0,7350000000.0,Belum,Utara,,> 2 Mobil
Premium,Kenjeran,349.0,450.0,4.0,4.0,2.0,3990000000.0,Belum,Utara,,> 2 Mobil
Standard,Dukuh Sutorejo,200.0,344.0,6.0,4.0,2.0,3000000000.0,Belum,Selatan,,1-2 Mobil
Standard,Lakarsantri,187.0,180.0,2.0,1.0,1.0,1210000000.0,Belum,,Tikungan/Hook,> 2 Mobil
Standard,Rungkut,100.0,100.0,2.0,1.0,1.0,560000000.0,Belum,Selatan,Standard,> 2 Mobil
